b,bb,g,path,r
-26.098389528,-13.3442251386,-10.691214289,ANd9GcQ3G3vcXYRM3wDt31_Uc5M7aZYoNkR6oz1K3qWfXriPQTml3H7J.jpg,49.9933899267
26.6765588997,-21.7115123981,-13.9147446856,ANd9GcQ3h7vo9eOf3BsUxnSEJ1BhGHyIZDpaTbiv-zKS94KVz_m56wbK.jpg,51.4154324555
37.9413179956,-7.48965473829,7.19576710368,ANd9GcQ3I4AqnWqa22WJ5cS_nxRsdKxvVgQBdxtHDGtk2jgenWo6lgp0eA.jpg,47.0732734566
-21.3844538664,-26.7104677171,-11.0656136854,ANd9GcQ3QBC1wd4-PmfN7eiSNnXF_CB_WZMSb_qNF55MTmqxSoALUXyl.jpg,51.6958315576
33.4057621704,-5.5297439845,42.0554337907,ANd9GcQ3UX4TVOnUTI83wm1MFi60JOzyJzYUsJVyKJ8Q6yHi4LEZoUE4dA.jpg,39.6481157956
11.3786110004,-12.7080445682,-2.95032831843,ANd9GcQ3whYfUGrHELoCiurYMmOps_dNp0p2mIMPcV7PVMJM2Vl9zkvodw.jpg,39.198272357
17.3034296924,-11.7999731672,-2.48908591625,ANd9GcQ42LTPJRt5lRQc6SDm-jXxBRtqLFEN1hQTNfpeviZQ3s7JUemI1g.jpg,46.0203191517
-5.70006984788,-4.34878422879,-1.09364231594,ANd9GcQ44Rr7AMWW8pt_rVDDlyrvaOZvKxTS4MYbDxdanNe8I_mZavPQ-w.jpg,46.0520106078
5.70359123328,-13.237583559,11.5827916438,ANd9GcQ4ARLxql3H0gL2HfnORyt5CORfwUcBGyYm6QbZ3LoQD2mM8p0.jpg,23.9609598944
-4.20616504029,-1.53130502694,-1.15571174125,ANd9GcQ4aRrWRi7PaKSC55a-GHGqEnKoWe9WIcGPI-1ra_2vAJveUEPaZw.jpg,33.3215250597
17.1076783376,-17.9629821309,-7.58613745192,ANd9GcQ4HmanLwwYpoDvuMV2gZ-hPHUKe_pEfASta1XhcQsdwAvYzEN-.jpg,41.3191153504
